Pairing,var,Catogery,replace
buy trade,no position break,Trade,buy trade
buy trade,price,Trade,buy trade
Cover short,NANA,Trade,Cover short
Covershort ,NANA,Trade,Cover short 
Cover short, no position break,Trade,Cover short
proceeds sell,NANA,Trade,proceeds sell
purchase,NANA,Trade,purchase
sell short,NANA,Trade,sell short
Sell Short, no position break,Trade,sell short
sell trade,NANA,Trade,sell trade
sell trade treasury amt,NANA,Trade,sell trade
sell trade,no position break,Trade,sell trade
sell trade,price,Trade,sell trade
cash adjustments,NANA,Wire Transfer,Wire Transfer
cash lieu,NANA,Wire Transfer,Wire Transfer
cash movement,NANA,Wire Transfer,Wire Transfer
cash tender,NANA,Wire Transfer,Wire Transfer
CKP,NANA,Wire Transfer,CKP
CKR,NANA,Wire Transfer,CKR
IPB journal,NANA,Wire Transfer,IPB journal
journal,NANA,Wire Transfer,journal
margin,NANA,Wire Transfer,margin
money market movement,NANA,Wire Transfer,money market movement
pb variation margin,NANA,Wire Transfer,pb variation margin
spec journal,NANA,Wire Transfer,Wire Transfer
transfer wire,NANA,Wire Transfer,Wire Transfer
withdrawl,NANA,withdrawl,withdrawl
Futures Collateral,NANA,Nana,Future Collateral
Corporate Action,NANA,NANA,Corporate Action
ticket charges,NANA,NANA,ticket fees
transfer iwre,NANA,NANA,Wire Transfer
income from securities,NANA,NANA,income from securities
PTSL transaction,NANA,NANA,PTSL transaction
allocation,NANA,NANA,allocleg
dividend,,,dividend
dividends,,,dividend
transfer,NANA,NANA,Wire Transfer
equity swap,NANA,NANA,equity swap settlement
collateral cash,NANA,NANA,collateral transfer
collateral,NANA,NANA,collateral transfer
Future dated trade,NANA,NANA,Future dated trade
Corp action,NANA,NANA,Corporate Action
Follow up email,NANA,NANA,Follow up email
Hedge roll over,NANA,NANA,Hedge roll over
roll over,,,Hedge roll over
Email sent,NANA,NANA,Follow up email
Corporate,NANA,NANA,Corp 
stk,NANA,NANA,Corp 
inc,NANA,NANA,Corp 
transfer,NANA,NANA,Wire Transfer
adr,NANA,NANA,adr
lp,NANA,NANA,company
plc,NANA,NANA,company
inc.,NANA,NANA,company
inc,NANA,NANA,company
swap,NANA,NANA,equity swap settlement
future,NANA,NANA,future
fut,NANA,NANA,future
internal transfer,NANA,NANA,internal transfer
loan,NANA,NANA,loan
loan cash ,NANA,NANA,loan
corp,NANA,NANA,company
EQSWAP DIV CLIENT TAX,NANA,NANA,EQSWAP DIV CLIENT TAX
swap unwind,NANA,NANA,swap unwind
PB VARIATION MARGIN JOURNAL,NANA,NANA,variation margin
LENDING FEE,NANA,NANA,LENDING FEE
Securities lending rebate,NANA,NANA,Securities lending rebate
Securities lendingrebate,NANA,NANA,Securities lending rebate
transfer,NANA,NANA,Wire Transfer
Cash and Equivalents,NANA,NANA,Wire Transfer
interest payment,NANA,NANA,interest
CFD,NANA,NANA,interest
Interest rebate,NANA,NANA,interest
Interest on credit balance,NANA,NANA,interest
Interest on debit balance,NANA,NANA,interest
Prime Broker Interest,NANA,NANA,interest
call ,NANA,NANA,option
put,NANA,NANA,option
futr,NANA,NANA,future
bond,NANA,NANA,bond
forward,NANA,NANA,forward
income earned for TIER 01 UNINVESTED AMNT,NANA,NANA,Revenue
libor,NANA,NANA,interest
term loan,NANA,NANA,term loan
TL-FILO,NANA,NANA,TL-FILO
144A,NANA,NANA,144A
Sr Sec,NANA,NANA,Sr Sec
Sr Unsec,NANA,NANA,Sr Unsec
s unsec,,,Sr Unsec
s sec,,,Sr Sec
Lien,,,Loan
callable,,,option
cr_int,,,interest
debit_interest,,,interest
debit_int,,,interest
000000000000STIF INVESTMENTS,,,stif
co,,,company
group,,,compnay
grp,,,compnay
holdings,,,compnay
intl,,,compnay
intl.,,,compnay
third party fx sell,,,third party fx sell
third party fx buy,,,third party fx buy
escrow,,,escrow
contra,,,contract
contract,,,contract
contract1,,,contract
tl,,,term loan
shares,,,compnay
paydown,,,interest
